company_name,director_name,cin
Tata Consultancy Services,Rajesh Gopinathan,L72900MH1995PLC084781
Infosys Limited,Salil Parekh,L85110KA1981PLC013115
Wipro Limited,Thierry Delaporte,L32102KA1945PLC020800
HCL Technologies,C Vijayakumar,L74140DL1991PLC046369
Tech Mahindra,CP Gurnani,L64200MH1986PLC041370
Reliance Industries,Mukesh Ambani,L17110MH1973PLC019786
HDFC Bank,Sashidhar Jagdishan,L65920MH1994PLC080618
ICICI Bank,Sandeep Bakhshi,L65190GJ1994PLC021012
Bharti Airtel,Gopal Vittal,L74899DL1995PLC070609
ITC Limited,Sanjiv Puri,L16005WB1910PLC001985
